Unique ID, Generation, Average Fitness, Best Fitness
21,206,7.547856756769867E-6,8.28761516365392E-6
21,207,7.547859706242044E-6,8.28761516365392E-6
21,208,7.54787002826512E-6,8.28761516365392E-6
21,209,7.5478725551622515E-6,8.28761516365392E-6
21,210,7.5478756412711575E-6,8.28761516365392E-6
21,211,7.547883275117942E-6,8.28761516365392E-6
21,212,7.547882850509086E-6,8.28761516365392E-6
21,213,7.547889639327436E-6,8.28761516365392E-6
21,214,7.547891214434481E-6,8.28761516365392E-6
21,215,7.547901208215333E-6,8.28761516365392E-6
21,216,7.547905912249366E-6,8.28761516365392E-6
21,217,7.54791236234201E-6,8.28761516365392E-6
21,218,7.547918263316169E-6,8.28761516365392E-6
21,219,7.547927419576211E-6,8.28761516365392E-6
21,220,7.547933802813222E-6,8.28761516365392E-6
21,221,7.547943112910296E-6,8.28761516365392E-6
21,222,7.547945562935709E-6,8.28761516365392E-6
21,223,7.547954648211348E-6,8.28761516365392E-6
21,224,7.5479588012566945E-6,8.28761516365392E-6
21,225,7.547961242140923E-6,8.28761516365392E-6
21,226,7.547962833189965E-6,8.28761516365392E-6
21,227,7.5479719350989994E-6,8.28761516365392E-6
21,228,7.547977477875849E-6,8.28761516365392E-6
21,229,7.547983815342696E-6,8.28761516365392E-6
21,230,7.547986200909965E-6,8.28761516365392E-6
21,231,7.547992833841908E-6,8.28761516365392E-6
21,232,7.5479951475180494E-6,8.28761516365392E-6
21,233,7.548004913424007E-6,8.28761516365392E-6
21,234,7.548010973581527E-6,8.28761516365392E-6
21,235,7.548015069858692E-6,8.28761516365392E-6
21,236,7.548021743284733E-6,8.28761516365392E-6
21,237,7.548028456428661E-6,8.28761516365392E-6
21,238,7.548029316058127E-6,8.28761516365392E-6
21,239,7.5480372418520434E-6,8.28761516365392E-6
21,240,7.5480456581075E-6,8.28761516365392E-6
21,241,7.548049100399737E-6,8.28761516365392E-6
21,242,7.54805273792407E-6,8.28761516365392E-6
21,243,7.5480606415270566E-6,8.28761516365392E-6
21,244,7.548061075810352E-6,8.28761516365392E-6
21,245,7.548063031798684E-6,8.28761516365392E-6
21,246,7.548067107616846E-6,8.28761516365392E-6
21,247,7.548075534026387E-6,8.28761516365392E-6
21,248,7.548078173432244E-6,8.28761516365392E-6
21,249,7.5480891807349535E-6,8.28761516365392E-6
21,250,7.548095859658881E-6,8.28761516365392E-6
21,251,7.548099789004657E-6,8.28761516365392E-6
21,252,7.548102108636232E-6,8.28761516365392E-6
21,253,7.548105526395584E-6,8.28761516365392E-6
21,254,7.5481095994844524E-6,8.28761516365392E-6
21,255,7.548118821121495E-6,8.28761516365392E-6
21,256,7.548122572129679E-6,8.28761516365392E-6
21,257,7.5481319589547695E-6,8.28761516365392E-6
21,258,7.5481394225016416E-6,8.28761516365392E-6
